origin,dest,distance,arr_delay
EWR,IAH,1400.0,11.0
LGA,IAH,1416.0,20.0
JFK,MIA,1089.0,33.0
JFK,BQN,1576.0,-18.0
LGA,ATL,762.0,-25.0
EWR,ORD,719.0,12.0
EWR,FLL,1065.0,19.0
LGA,IAD,229.0,-14.0
JFK,MCO,944.0,-8.0
LGA,ORD,733.0,8.0
JFK,PBI,1028.0,-2.0
JFK,TPA,1005.0,-3.0
JFK,LAX,2475.0,7.0
EWR,SFO,2565.0,-14.0
LGA,DFW,1389.0,31.0
JFK,BOS,187.0,-4.0
EWR,LAS,2227.0,-8.0
LGA,FLL,1076.0,-7.0
LGA,ATL,762.0,12.0
EWR,PBI,1023.0,-6.0
LGA,MSP,1020.0,-8.0
LGA,DTW,502.0,16.0
EWR,MIA,1085.0,-12.0
JFK,ATL,760.0,-8.0
EWR,MIA,1085.0,-17.0
EWR,ORD,719.0,32.0
JFK,SFO,2586.0,14.0
JFK,RSW,1074.0,4.0
JFK,SJU,1598.0,-21.0
EWR,ATL,746.0,-9.0
EWR,PHX,2133.0,3.0
LGA,MIA,1096.0,5.0
LGA,IAH,1416.0,1.0
EWR,MSP,1008.0,29.0
LGA,MSP,1020.0,10.0
JFK,PHX,2153.0,0.0
JFK,SJU,1598.0,-3.0
EWR,LAX,2454.0,29.0
LGA,ORD,733.0,14.0
LGA,BWI,185.0,-19.0
EWR,CLT,529.0,-9.0
EWR,IAD,212.0,12.0
LGA,DFW,1389.0,48.0
LGA,MCO,950.0,-5.0
JFK,BOS,187.0,-10.0
EWR,PBI,1023.0,-18.0
EWR,CLT,529.0,-11.0
EWR,FLL,1065.0,-9.0
JFK,BUF,301.0,5.0
LGA,DEN,1620.0,-6.0
EWR,SNA,2434.0,-7.0
JFK,LAS,2248.0,-6.0
JFK,MSY,1182.0,11.0
LGA,PBI,1035.0,-33.0
JFK,SLC,1990.0,-9.0
JFK,SFO,2586.0,-8.0
LGA,MIA,1096.0,-18.0
LGA,ORD,733.0,4.0
JFK,MCO,944.0,-10.0
LGA,XNA,1147.0,27.0
EWR,TPA,997.0,-23.0
LGA,FLL,1076.0,-14.0
LGA,ATL,762.0,5.0
JFK,LAX,2475.0,2.0
LGA,MIA,1096.0,-7.0
JFK,FLL,1069.0,1.0
LGA,DTW,502.0,-6.0
EWR,RSW,1068.0,-9.0
EWR,SJU,1608.0,-31.0
JFK,LAX,2475.0,44.0
LGA,ORD,733.0,20.0
JFK,SJU,1598.0,-15.0
JFK,FLL,1069.0,-12.0
EWR,ORD,719.0,21.0
LGA,MKE,738.0,10.0
JFK,MCO,944.0,5.0
EWR,PBI,1023.0,-4.0
LGA,DFW,1389.0,31.0
EWR,SEA,2402.0,-10.0
EWR,DFW,1372.0,12.0
EWR,DEN,1605.0,7.0
LGA,IAH,1416.0,3.0
JFK,SFO,2586.0,-26.0
JFK,ROC,264.0,-1.0
LGA,RSW,1080.0,2.0
EWR,MCO,937.0,30.0
JFK,SYR,209.0,4.0
JFK,SFO,2586.0,-26.0
LGA,ORD,733.0,-12.0
EWR,IAH,1400.0,26.0
LGA,TPA,1010.0,2.0
JFK,LAX,2475.0,7.0
JFK,SRQ,1041.0,-11.0
JFK,SEA,2422.0,3.0
JFK,SFO,2586.0,10.0
EWR,SFO,2565.0,-10.0
EWR,ORD,719.0,49.0
LGA,MCO,950.0,-18.0
LGA,DEN,1620.0,-4.0
LGA,CLT,544.0,-4.0
LGA,MIA,1096.0,-14.0
LGA,ATL,762.0,-2.0
LGA,DEN,1620.0,33.0
EWR,MCO,937.0,-1.0
JFK,MIA,1089.0,-30.0
LGA,MSP,1020.0,8.0
JFK,RDU,427.0,-6.0
EWR,BOS,200.0,-19.0
JFK,BOS,187.0,-22.0
JFK,SFO,2586.0,-12.0
JFK,MCO,944.0,-13.0
JFK,CLT,541.0,10.0
JFK,FLL,1069.0,12.0
LGA,CMH,479.0,-4.0
JFK,ATL,760.0,0.0
EWR,JAX,820.0,-7.0
JFK,MSP,1029.0,11.0
LGA,PBI,1035.0,-28.0
EWR,CHS,628.0,-26.0
LGA,CLT,544.0,137.0
EWR,CLT,529.0,10.0
EWR,MEM,946.0,23.0
LGA,DEN,1620.0,7.0
LGA,ATL,762.0,17.0
JFK,PIT,340.0,17.0
JFK,SJU,1598.0,-16.0
JFK,BOS,187.0,-14.0
JFK,SJU,1598.0,-40.0
JFK,SAN,2446.0,24.0
JFK,DCA,213.0,-13.0
LGA,CLE,419.0,-2.0
JFK,CLT,541.0,-5.0
EWR,DFW,1372.0,16.0
LGA,STL,888.0,2.0
JFK,JAX,828.0,-7.0
JFK,MIA,1089.0,51.0
EWR,SFO,2565.0,-13.0
JFK,ORD,740.0,15.0
EWR,LAX,2454.0,7.0
JFK,LAX,2475.0,-8.0
EWR,MCO,937.0,-23.0
LGA,ORD,733.0,3.0
LGA,ATL,762.0,-13.0
EWR,MYR,550.0,-18.0
LGA,RDU,431.0,-24.0
LGA,DEN,1620.0,32.0
LGA,DFW,1389.0,20.0
LGA,CLE,419.0,-8.0
JFK,SJU,1598.0,-39.0
JFK,DTW,509.0,-9.0
EWR,RSW,1068.0,-27.0
JFK,BWI,184.0,851.0
EWR,JAC,1874.0,19.0
EWR,RDU,416.0,-4.0
EWR,DTW,488.0,-3.0
EWR,SAN,2425.0,9.0
EWR,MDW,711.0,26.0
JFK,TPA,1005.0,2.0
LGA,ATL,762.0,-2.0
JFK,LAX,2475.0,6.0
LGA,MIA,1096.0,-10.0
EWR,PBI,1023.0,-23.0
JFK,HNL,4983.0,-14.0
LGA,DTW,502.0,-13.0
EWR,ATL,746.0,-9.0
EWR,SEA,2402.0,-25.0
LGA,DTW,502.0,-8.0
LGA,MCO,950.0,-24.0
JFK,LAX,2475.0,-2.0
EWR,FLL,1065.0,8.0
EWR,ORD,719.0,3.0
LGA,BNA,764.0,50.0
EWR,MIA,1085.0,-19.0
JFK,AUS,1521.0,40.0
EWR,DEN,1605.0,9.0
JFK,BTV,266.0,-7.0
LGA,PHL,96.0,-29.0
EWR,IAH,1400.0,9.0
JFK,STT,1623.0,16.0
JFK,MIA,1089.0,21.0
EWR,MIA,1085.0,-7.0
EWR,STT,1634.0,-30.0
EWR,DFW,1372.0,4.0
EWR,CLE,404.0,15.0
LGA,DFW,1389.0,28.0
JFK,MCO,944.0,-5.0
JFK,RDU,427.0,-16.0
JFK,IAD,228.0,14.0
LGA,CLT,544.0,27.0
JFK,LAX,2475.0,10.0
JFK,BOS,187.0,-4.0
EWR,SJU,1608.0,-17.0
